date	sec	swe	alb
2004-07-09	0.00	0.00	0.88
2004-07-10	0.00	0.00	0.88
2004-07-11	0.00	0.00	0.88
2004-07-12	0.00	0.00	0.88
2004-07-13	0.00	0.00	0.88
2004-07-14	0.00	0.00	0.88
2004-07-15	0.00	0.00	0.88
2004-07-16	0.00	0.00	0.88
2004-07-17	0.00	0.00	0.88
2004-07-18	0.00	0.00	0.88
2004-07-19	0.00	0.00	0.88
2004-07-20	0.00	0.00	0.88
2004-07-21	0.00	0.00	0.88
2004-07-22	0.00	0.00	0.88
2004-07-23	0.00	0.00	0.88
2004-07-24	0.00	0.00	0.88
2004-07-25	0.00	0.00	0.88
2004-07-26	0.00	0.00	0.88
2004-07-27	0.00	0.00	0.88
2004-07-28	0.00	0.00	0.88
2004-07-29	0.00	0.00	0.88
2004-07-30	0.00	0.00	0.88
2004-07-31	0.00	0.00	0.88
2004-08-01	0.00	0.00	0.88
2004-08-02	0.00	0.00	0.88
2004-08-03	0.00	0.00	0.88
2004-08-04	0.00	0.00	0.88
2004-08-05	0.00	0.00	0.88
2004-08-06	0.00	0.00	0.88
2004-08-07	0.00	0.00	0.88
2004-08-08	0.00	0.00	0.88
2004-08-09	0.00	0.00	0.88
2004-08-10	0.00	0.00	0.88
2004-08-11	0.00	0.00	0.88
2004-08-12	0.00	0.00	0.88
2004-08-13	0.00	0.00	0.88
2004-08-14	0.00	0.00	0.88
2004-08-15	0.00	0.00	0.88
2004-08-16	0.00	0.00	0.88
2004-08-17	0.00	0.00	0.88
2004-08-18	0.00	0.00	0.88
2004-08-19	0.00	0.00	0.88
2004-08-20	0.00	0.00	0.88
2004-08-21	0.00	0.00	0.88
2004-08-22	0.00	0.00	0.88
2004-08-23	0.00	0.00	0.88
2004-08-24	0.00	0.00	0.88
2004-08-25	0.00	0.00	0.88
2004-08-26	0.00	0.00	0.88
2004-08-27	0.00	0.00	0.88
2004-08-28	0.00	0.00	0.88
2004-08-29	0.00	0.00	0.88
2004-08-30	0.00	0.00	0.88
2004-08-31	0.00	0.00	0.88
2004-09-01	0.00	0.00	0.88
2004-09-02	0.00	0.00	0.88
2004-09-03	0.00	0.00	0.88
2004-09-04	0.00	0.00	0.88
2004-09-05	0.00	0.00	0.88
2004-09-06	0.00	0.00	0.88
2004-09-07	0.00	0.00	0.88
2004-09-08	0.00	0.00	0.88
2004-09-09	0.00	0.00	0.88
2004-09-10	0.00	0.00	0.88
2004-09-11	0.00	0.00	0.88
2004-09-12	0.00	0.00	0.88
2004-09-13	0.00	0.00	0.88
2004-09-14	0.00	0.00	0.88
2004-09-15	0.00	0.00	0.88
2004-09-16	0.00	0.00	0.88
2004-09-17	0.00	0.00	0.88
2004-09-18	0.00	0.00	0.88
2004-09-19	0.00	0.00	0.88
2004-09-20	0.00	0.00	0.88
2004-09-21	0.00	0.00	0.88
2004-09-22	0.00	0.00	0.88
2004-09-23	0.00	0.00	0.88
2004-09-24	0.00	0.00	0.88
2004-09-25	0.00	0.00	0.88
2004-09-26	0.00	0.00	0.88
2004-09-27	0.00	0.00	0.88
2004-09-28	0.00	0.00	0.88
2004-09-29	0.00	0.00	0.88
2004-09-30	0.00	0.00	0.88
2004-10-01	0.00	0.00	0.88
2004-10-02	0.00	0.00	0.88
2004-10-03	0.00	0.00	0.88
2004-10-04	0.00	0.00	0.88
2004-10-05	0.00	0.00	0.88
2004-10-06	0.00	0.00	0.88
2004-10-07	0.00	0.00	0.88
2004-10-08	0.00	0.00	0.88
2004-10-09	0.00	0.00	0.88
2004-10-10	0.00	0.00	0.88
2004-10-11	0.00	0.00	0.88
2004-10-12	0.00	0.00	0.88
2004-10-13	0.00	0.00	0.88
2004-10-14	0.00	0.00	0.88
2004-10-15	0.00	0.00	0.88
2004-10-16	0.00	0.00	0.88
2004-10-17	0.00	0.00	0.88
2004-10-18	0.00	0.00	0.88
2004-10-19	30.41	0.00	0.85
2004-10-20	0.00	0.00	0.88
2004-10-21	0.00	0.00	0.88
2004-10-22	0.00	0.00	0.88
2004-10-23	0.00	0.00	0.88
2004-10-24	0.00	0.00	0.88
2004-10-25	0.00	0.00	0.88
2004-10-26	0.00	0.00	0.88
